2020-04-17 18:28:23,464 INFO    MainThread:14976 [wandb_setup.py:_log_setup():205] Logging to wandb\wandb-20200417_182823-14976\debug.log
2020-04-17 18:28:23,464 INFO    MainThread:14976 [wandb_setup.py:_setup():231] multiprocessing start_methods=spawn
2020-04-17 18:28:23,473 INFO    MainThread:14976 [wandb_init.py:init():303] runconfig: {'_wandb': {'desc': None, 'value': {'cli_version': '0.0.14'}}}
2020-04-17 18:28:25,497 INFO    MainThread:14976 [wandb_init.py:init():323] atexit reg
2020-04-17 18:28:25,497 INFO    MainThread:14976 [wandb_init.py:_redirect():177] redirect
2020-04-17 18:28:25,497 INFO    MainThread:14976 [redirect.py:install():72] install start
2020-04-17 18:28:25,499 INFO    MainThread:14976 [redirect.py:install():87] install stop
2020-04-17 18:28:25,499 INFO    MainThread:14976 [redirect.py:install():72] install start
2020-04-17 18:28:25,500 INFO    MainThread:14976 [redirect.py:install():87] install stop
2020-04-17 18:28:25,501 INFO    MainThread:14976 [wandb_init.py:_redirect():204] redirect2
2020-04-17 18:28:25,502 INFO    MainThread:14976 [wandb_run.py:save():186] Saving from wandb-jobspec.json to wandb\wandb-20200417_182823-14976\files\wandb-jobspec.json
2020-04-17 18:28:25,518 INFO    stdout    :14976 [wandb_init.py:_callback():173] callback: stdout, b'\x1b[H\x1b[2J'
2020-04-17 18:28:25,519 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'2020-04-17 18:28:25,518 | INFO: Params file loaded successfully. | (__main__.utils.utils)\r\n'
2020-04-17 18:28:25,522 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'2020-04-17 18:28:25,519 | INFO: AUTOSAVE: False | (__main__.utils.utils)\r\n'
2020-04-17 18:28:25,522 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'2020-04-17 18:28:25,519 | INFO: Paths initialized successfully. | (__main__.utils.utils)\r\n'
2020-04-17 18:28:25,630 INFO    stdout    :14976 [wandb_init.py:_callback():173] callback: stdout, b'Files already downloaded and verified'
2020-04-17 18:28:25,630 INFO    stdout    :14976 [wandb_init.py:_callback():173] callback: stdout, b'\r\n'
2020-04-17 18:28:27,235 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'2020-04-17 18:28:27,235 | INFO: Data loaded successfully. | (__main__)\r\n'
2020-04-17 18:28:27,247 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'2020-04-17 18:28:27,246 | INFO: Epochs: 100, lr: 0.001, batch_size: 64 | (__main__)\r\n'
2020-04-17 18:28:27,247 INFO    stdout    :14976 [wandb_init.py:_callback():173] callback: stdout, b'\r\n[---TRAINING START---]'
2020-04-17 18:28:27,248 INFO    stdout    :14976 [wandb_init.py:_callback():173] callback: stdout, b'\r\n'
2020-04-17 18:28:27,249 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   0%|          | 0/301 [00:00<?, ?it/s]'
2020-04-17 18:28:29,683 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 8/301 [00:02<01:21,  3.61it/s, loss=0.67179074]'
2020-04-17 18:28:29,684 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 9/301 [00:02<01:18,  3.72it/s, loss=0.67179074]'
2020-04-17 18:28:29,937 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 9/301 [00:02<01:18,  3.72it/s, loss=0.67103579]'
2020-04-17 18:28:29,937 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|3         | 10/301 [00:02<01:17,  3.78it/s, loss=0.67103579]'
2020-04-17 18:28:30,206 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|3         | 10/301 [00:02<01:17,  3.78it/s, loss=0.67017208]'
2020-04-17 18:28:30,207 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 11/301 [00:02<01:17,  3.76it/s, loss=0.67017208]'
2020-04-17 18:28:30,463 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 11/301 [00:03<01:17,  3.76it/s, loss=0.66938453]'
2020-04-17 18:28:30,464 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 12/301 [00:03<01:16,  3.80it/s, loss=0.66938453]'
2020-04-17 18:28:30,739 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 12/301 [00:03<01:16,  3.80it/s, loss=0.66858881]'
2020-04-17 18:28:30,740 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|4         | 13/301 [00:03<01:16,  3.74it/s, loss=0.66858881]'
2020-04-17 18:28:30,991 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|4         | 13/301 [00:03<01:16,  3.74it/s, loss=0.66773279]'
2020-04-17 18:28:30,991 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 14/301 [00:03<01:15,  3.81it/s, loss=0.66773279]'
2020-04-17 18:28:31,259 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 14/301 [00:04<01:15,  3.81it/s, loss=0.66676609]'
2020-04-17 18:28:31,259 INFO    stderr    :14976 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 15/301 [00:04<01:15,  3.79it/s, loss=0.66676609]'
