2020-04-17 14:24:34,882 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   2%|2         | 7/301 [00:02<01:25,  3.43it/s, loss=0.14692300]'
2020-04-17 14:24:35,149 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   2%|2         | 7/301 [00:02<01:25,  3.43it/s, loss=0.14754022]'
2020-04-17 14:24:35,149 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 8/301 [00:02<01:23,  3.51it/s, loss=0.14754022]'
2020-04-17 14:24:35,414 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 8/301 [00:02<01:23,  3.51it/s, loss=0.14878048]'
2020-04-17 14:24:35,415 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 9/301 [00:02<01:21,  3.59it/s, loss=0.14878048]'
2020-04-17 14:24:35,669 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|2         | 9/301 [00:02<01:21,  3.59it/s, loss=0.14871790]'
2020-04-17 14:24:35,670 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|3         | 10/301 [00:02<01:19,  3.68it/s, loss=0.14871790]'
2020-04-17 14:24:35,940 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   3%|3         | 10/301 [00:03<01:19,  3.68it/s, loss=0.14803556]'
2020-04-17 14:24:35,940 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 11/301 [00:03<01:18,  3.69it/s, loss=0.14803556]'
2020-04-17 14:24:36,219 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 11/301 [00:03<01:18,  3.69it/s, loss=0.14842179]'
2020-04-17 14:24:36,219 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 12/301 [00:03<01:19,  3.65it/s, loss=0.14842179]'
2020-04-17 14:24:36,474 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|3         | 12/301 [00:03<01:19,  3.65it/s, loss=0.14930253]'
2020-04-17 14:24:36,475 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|4         | 13/301 [00:03<01:17,  3.73it/s, loss=0.14930253]'
2020-04-17 14:24:36,740 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   4%|4         | 13/301 [00:03<01:17,  3.73it/s, loss=0.14893776]'
2020-04-17 14:24:36,740 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 14/301 [00:03<01:16,  3.74it/s, loss=0.14893776]'
2020-04-17 14:24:37,039 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 14/301 [00:04<01:16,  3.74it/s, loss=0.14879015]'
2020-04-17 14:24:37,040 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 15/301 [00:04<01:19,  3.61it/s, loss=0.14879015]'
2020-04-17 14:24:37,369 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|4         | 15/301 [00:04<01:19,  3.61it/s, loss=0.14866452]'
2020-04-17 14:24:37,369 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|5         | 16/301 [00:04<01:23,  3.42it/s, loss=0.14866452]'
2020-04-17 14:24:37,659 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   5%|5         | 16/301 [00:04<01:23,  3.42it/s, loss=0.14930741]'
2020-04-17 14:24:37,660 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   6%|5         | 17/301 [00:04<01:22,  3.42it/s, loss=0.14930741]'
2020-04-17 14:24:37,939 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   6%|5         | 17/301 [00:05<01:22,  3.42it/s, loss=0.14850039]'
2020-04-17 14:24:37,939 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   6%|5         | 18/301 [00:05<01:21,  3.47it/s, loss=0.14850039]'
2020-04-17 14:24:38,208 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   6%|5         | 18/301 [00:05<01:21,  3.47it/s, loss=0.14819155]'
2020-04-17 14:24:38,208 INFO    stderr    :5372 [wandb_init.py:_callback():173] callback: stderr, b'\rEpoch: 0:   6%|6         | 19/301 [00:05<01:19,  3.54it/s, loss=0.14819155]'
